state,land_size_sq_km,year,sex,age,ethnicity,population_thousands,Rank
Johor,19210,2010,both,0-4,overall,286.6,3
Kedah,9500,2010,both,0-4,overall,172,6
Kelantan,15099,2010,both,0-4,overall,168.9,7
Melaka,1664,2010,both,0-4,overall,68,13
Negeri Sembilan,6686,2010,both,0-4,overall,85.5,12
Pahang,36137,2010,both,0-4,overall,146.9,8
Perak,21035,2010,both,0-4,overall,183.6,5
Perlis,821,2010,both,0-4,overall,19.9,14
Pulau Pinang,1049,2010,both,0-4,overall,114.1,10
Sabah,73904,2010,both,0-4,overall,310.2,2
Sarawak,124450,2010,both,0-4,overall,224.9,4
Selangor,8104,2010,both,0-4,overall,467.3,1
Terengganu,13035,2010,both,0-4,overall,113.1,11
W.P. Kuala Lumpur,243,2010,both,0-4,overall,126.4,9
W.P. Labuan,92,2010,both,0-4,overall,9.6,16
W.P. Putrajaya,49,2010,both,0-4,overall,11.5,15
Johor,19210,2015,both,0-4,overall,293.4,3
Kedah,9500,2015,both,0-4,overall,183.3,6
Kelantan,15099,2015,both,0-4,overall,193.1,5
Melaka,1664,2015,both,0-4,overall,69.9,13
Negeri Sembilan,6686,2015,both,0-4,overall,86.7,12
Pahang,36137,2015,both,0-4,overall,138.6,8
Perak,21035,2015,both,0-4,overall,176.4,7
Perlis,821,2015,both,0-4,overall,21.1,14
Pulau Pinang,1049,2015,both,0-4,overall,112.3,11
Sabah,73904,2015,both,0-4,overall,303.7,2
Sarawak,124450,2015,both,0-4,overall,209.5,4
Selangor,8104,2015,both,0-4,overall,533.4,1
Terengganu,13035,2015,both,0-4,overall,127.8,10
W.P. Kuala Lumpur,243,2015,both,0-4,overall,129.2,9
W.P. Labuan,92,2015,both,0-4,overall,8.8,16
W.P. Putrajaya,49,2015,both,0-4,overall,14.4,15
Johor,19210,2020,both,0-4,overall,306.3,2
Kedah,9500,2020,both,0-4,overall,181,4
Kelantan,15099,2020,both,0-4,overall,173.8,5
Melaka,1664,2020,both,0-4,overall,83.1,13
Negeri Sembilan,6686,2020,both,0-4,overall,92.4,12
Pahang,36137,2020,both,0-4,overall,135.3,8
Perak,21035,2020,both,0-4,overall,170.2,6
Perlis,821,2020,both,0-4,overall,19.1,14
Pulau Pinang,1049,2020,both,0-4,overall,117.6,10
Sabah,73904,2020,both,0-4,overall,291.2,3
Sarawak,124450,2020,both,0-4,overall,155.8,7
Selangor,8104,2020,both,0-4,overall,532.4,1
Terengganu,13035,2020,both,0-4,overall,109.4,11
W.P. Kuala Lumpur,243,2020,both,0-4,overall,129.1,9
W.P. Labuan,92,2020,both,0-4,overall,10,16
W.P. Putrajaya,49,2020,both,0-4,overall,12.9,15
Johor,19210,2023,both,0-4,overall,266.2,3
Kedah,9500,2023,both,0-4,overall,172.1,5
Kelantan,15099,2023,both,0-4,overall,176.4,4
Melaka,1664,2023,both,0-4,overall,69.9,13
Negeri Sembilan,6686,2023,both,0-4,overall,78.6,12
Pahang,36137,2023,both,0-4,overall,123.8,8
Perak,21035,2023,both,0-4,overall,153.3,7
Perlis,821,2023,both,0-4,overall,19.9,14
Pulau Pinang,1049,2023,both,0-4,overall,110.9,11
Sabah,73904,2023,both,0-4,overall,286.6,2
Sarawak,124450,2023,both,0-4,overall,153.9,6
Selangor,8104,2023,both,0-4,overall,504.1,1
Terengganu,13035,2023,both,0-4,overall,119.3,9
W.P. Kuala Lumpur,243,2023,both,0-4,overall,112.9,10
W.P. Labuan,92,2023,both,0-4,overall,8.1,16
W.P. Putrajaya,49,2023,both,0-4,overall,10.6,15
